Age,Budget,Duree,Interet_Aventure,Interet_Culture,Interet_Nature,Interet_Plage,Interet_Ville,Climat_Chaud,Climat_Froid,Climat_Tempéré,Destination
0.8934380901488533,1.5162398842641156,0.8091429752411754,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Tokyo
-1.3544044904029533,-0.8357883459870028,-0.8213844736265206,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Rio de Janeiro
-0.5610482855023157,1.507776583468315,0.6837177868667372,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sydney
-0.29659621720210316,0.7868572338623948,0.9345681636156136,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Le Caire
1.3562292096742252,-1.1943245433363718,0.8091429752411754,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Rio de Janeiro
0.1661949023232688,0.35599828425800284,-0.5705340968776442,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Barcelone
-1.5527435416281128,1.6585772158298522,1.18541854036449,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Rio de Janeiro
0.43064697062348134,0.7591591585306838,-0.9468096620009587,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Londres
0.8934380901488533,-0.7757758494349626,1.18541854036449,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Rio de Janeiro
1.3562292096742252,-0.3726149751622815,-0.5705340968776442,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Barcelone
0.8273250730738002,-1.0558341666778173,-1.4485104154987114,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Paris
-0.16437018305199688,-0.00022974014705697375,1.310843728738928,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Paris
-1.0899524221027408,0.33599411874065604,-0.06883334337989165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Rio de Janeiro
1.686794295049491,0.20442826091502922,0.056591844994546496,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Londres
1.0256641242989597,-1.0265973093832337,-1.6993607922475875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Rio de Janeiro
-0.8916133708775814,-0.9273458727779361,0.5582925984922991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Rio de Janeiro
0.695099038923694,0.2682877123742516,-1.3230852271242732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Le Caire
1.4884552438243315,-0.7126857889571766,0.6837177868667372,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Paris
1.4884552438243315,0.3590758481837485,1.4362689171133662,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Londres
-0.16437018305199688,1.2654184243158444,-0.31968372012876795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Tokyo
0.43064697062348134,0.10671560627260461,1.18541854036449,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Londres
1.686794295049491,0.8507166853216171,0.056591844994546496,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Sydney
1.157890158449066,-0.9073417072605894,-0.9468096620009587,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Barcelone
-0.16437018305199688,-1.166626468004661,0.056591844994546496,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Barcelone
0.7612120559987471,-1.4428378303403337,-1.197660038749835,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Londres
0.2984209364733751,-1.6213365380335818,1.5616941054878042,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,New York
-0.8916133708775814,-1.3535884764937096,0.43286741011786095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,New York
-1.4205175074780065,0.7968593166210681,0.8091429752411754,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Tokyo
-1.156065439177794,0.4414006831974448,0.9345681636156136,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Tokyo
-0.8255003538025283,-1.0558341666778173,-0.9468096620009587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rome
